integration_step,coord0,coord1,coord2,coord3,exec_time
0,-2,12,-8,0,47683
0,-2,12,-7,2,77229
0,-2,12,-8,2,84775
0,-1,12,-8,1,131252
0,-1,12,-7,1,134570
0,-1,12,-8,2,173004
0,-1,12,-7,2,177273
0,-1,11,-8,2,181929
1,-2,12,-8,0,44374
1,-2,12,-8,2,92903
1,-1,12,-8,1,163187
1,-1,11,-8,1,168150
1,-1,10,-8,2,191171
1,-1,12,-8,2,204795
1,-1,12,-7,2,197513
1,-1,11,-8,2,214943
2,-2,12,-8,1,72289
2,-2,12,-8,2,89742
2,-2,11,-8,2,91224
2,-1,11,-8,1,148936
2,-1,12,-8,1,158482
2,-1,10,-8,2,192749
2,-1,12,-8,2,190801
2,-1,11,-8,2,203833
3,-2,12,-8,0,57927
3,-2,12,-8,1,75722
3,-1,10,-8,1,147259
3,-1,11,-8,1,165703
3,-1,11,-7,1,166323
3,-1,12,-8,1,185744
3,-1,10,-8,2,199754
3,-1,12,-8,2,244358
4,-2,12,-8,1,87639
4,-2,11,-8,1,88026
4,-2,10,-8,1,88150
4,-2,12,-8,2,110483
4,-1,10,-7,1,143356
4,-1,11,-7,1,149119
4,-1,10,-8,1,154778
4,-1,10,-8,2,203097
5,-3,12,-8,2,56153
5,-2,10,-8,1,79021
5,-2,10,-8,2,107223
5,-2,12,-8,2,112961
5,-1,10,-8,1,149166
5,-1,10,-7,1,153354
5,-1,10,-7,2,200298
5,-1,10,-8,2,203638
6,-2,10,-8,0,62154
6,-2,9,-8,1,75134
6,-2,10,-8,1,83841
6,-2,9,-8,2,97379
6,-2,10,-8,2,107155
6,-1,10,-8,1,148454
6,-1,9,-8,2,183534
6,-1,10,-8,2,194574
7,-2,10,-7,1,80518
7,-2,11,-8,1,82484
7,-2,10,-8,1,86432
7,-2,10,-8,2,113953
7,-1,10,-7,1,149219
7,-1,10,-8,1,158291
7,-1,10,-7,2,199627
7,-1,10,-8,2,202742
8,-2,10,-7,1,85898
8,-2,11,-8,1,88155
8,-2,10,-8,1,88922
8,-2,9,-8,2,109291
8,-2,10,-8,2,109125
8,-1,10,-8,0,118037
8,-1,10,-8,1,159303
8,-1,10,-8,2,211082
9,-3,10,-8,2,60787
9,-2,10,-8,0,76765
9,-2,9,-8,1,77699
9,-2,10,-8,1,83994
9,-1,10,-8,1,85711
9,-1,10,-8,0,86496
9,-1,10,-8,2,99553
9,-2,10,-8,2,105452
10,-3,10,-8,1,47778
10,-2,10,-8,1,82869
10,-2,10,-7,2,102322
10,-2,10,-8,2,113370
10,-1,10,-8,1,168925
10,-1,11,-8,1,177250
10,-1,9,-8,2,187432
10,-1,10,-8,2,212099
11,-2,10,-8,1,90582
11,-2,11,-8,1,99697
11,-2,10,-8,2,124990
11,-2,11,-8,2,132530
11,-1,10,-8,1,173283
11,-1,11,-8,1,194902
11,-1,9,-8,2,206279
11,-1,10,-8,2,224175
12,-3,10,-8,2,61798
12,-2,11,-8,0,75973
12,-2,11,-8,1,112826
12,-2,10,-8,2,114854
12,-2,11,-8,2,128713
12,-1,11,-8,0,131065
12,-1,11,-8,1,176780
12,-1,11,-8,2,248265
13,-2,11,-8,0,76182
13,-2,11,-7,1,96209
13,-2,11,-8,1,96876
13,-2,11,-7,2,119648
13,-2,11,-8,2,128130
13,-1,10,-8,1,177491
13,-1,11,-8,1,189411
13,-1,11,-8,2,252452
14,-3,11,-8,1,53069
14,-1,11,-8,0,75072
14,-2,11,-8,1,95766
14,-1,11,-8,1,101697
14,-2,10,-8,2,107113
14,-1,11,-8,2,122819
14,-2,11,-8,2,126815
14,-1,11,-7,2,126993
15,-3,11,-8,1,48417
15,-2,11,-8,1,89410
15,-2,12,-8,2,131445
15,-2,11,-8,2,136396
15,-1,11,-8,0,157449
15,-1,11,-8,1,203659
15,-1,10,-8,2,244100
15,-1,11,-8,2,262432
16,-3,11,-8,1,52479
16,-3,12,-8,1,54629
16,-3,12,-8,2,67698
16,-2,12,-8,2,131184
16,-1,11,-8,0,144444
16,-1,10,-8,2,244443
16,-1,11,-8,2,268013
16,-1,12,-8,2,293061
17,-4,12,-8,2,34046
17,-3,11,-8,0,39487
17,-3,11,-8,1,51710
17,-3,12,-8,2,66575
17,-1,11,-8,0,130167
17,-1,10,-8,1,165259
17,-1,10,-8,2,232994
17,-1,11,-8,2,243935
18,-4,12,-8,1,27986
18,-4,12,-7,2,30113
18,-4,12,-8,2,32628
18,-3,11,-8,0,37794
18,-3,11,-8,1,43931
18,-3,12,-8,2,56495
18,-2,10,-8,2,103197
18,-1,10,-8,2,229464
19,-4,12,-8,0,20736
19,-4,12,-7,0,22605
19,-4,12,-8,1,25747
19,-4,12,-7,2,27883
19,-4,12,-8,2,31333
19,-4,11,-8,2,35042
19,-3,12,-8,1,40362
19,-3,12,-8,2,48832
20,-4,12,-8,0,22291
20,-4,12,-6,2,26389
20,-4,12,-8,1,29301
20,-4,12,-7,2,29597
20,-4,12,-8,2,29912
20,-4,11,-8,2,32113
20,-4,10,-8,2,32931
20,-3,12,-8,0,36638
21,-4,12,-8,0,20755
21,-4,12,-7,1,22563
21,-4,12,-8,1,25853
21,-4,12,-7,2,27580
21,-4,12,-8,2,29817
21,-4,10,-8,2,31038
21,-4,10,-8,1,31712
21,-3,12,-7,2,46287
22,-4,12,-7,1,21245
22,-4,12,-7,0,21732
22,-4,9,-8,1,26711
22,-4,10,-8,1,27584
22,-4,10,-8,2,30218
22,-4,11,-7,2,31510
22,-4,12,-7,2,31446
22,-3,10,-8,2,50697
23,-4,12,-7,0,19406
23,-4,9,-8,0,22045
23,-4,10,-8,0,23329
23,-4,12,-7,1,23097
23,-4,12,-8,0,21608
23,-4,9,-8,1,27910
23,-4,10,-8,2,29858
23,-3,9,-8,1,40216
24,-4,9,-8,0,22052
24,-4,12,-7,0,19765
24,-4,9,-8,1,26288
24,-4,9,-8,2,30245
24,-4,10,-8,2,31874
24,-3,12,-7,0,31950
24,-3,9,-8,0,32808
24,-4,11,-8,2,35673
25,-4,12,-7,0,18615
25,-4,11,-7,0,19641
25,-4,12,-6,0,20835
25,-4,9,-8,0,23604
25,-4,9,-8,1,28384
25,-4,9,-8,2,32154
25,-3,9,-8,0,32288
25,-3,9,-8,1,40455
26,-4,11,-7,0,19136
26,-4,9,-8,0,22463
26,-4,10,-8,0,25272
26,-4,9,-8,1,28718
26,-4,11,-7,2,28242
26,-4,9,-8,2,30337
26,-4,9,-7,2,31720
26,-3,9,-8,0,34118
27,-4,12,-7,0,19496
27,-4,11,-7,0,19648
27,-4,9,-8,0,22079
27,-4,10,-8,0,22420
27,-4,9,-8,1,26596
27,-4,11,-7,1,26457
27,-4,9,-8,2,30754
27,-3,9,-8,2,49366
28,-4,9,-8,0,21639
28,-4,11,-7,1,23236
28,-4,12,-7,1,24983
28,-4,9,-8,1,25587
28,-4,10,-8,0,25467
28,-4,9,-8,2,29939
28,-3,9,-8,0,33649
28,-3,9,-8,2,48699
29,-4,9,-7,0,19238
29,-4,9,-8,0,19971
29,-4,11,-7,1,23242
29,-4,12,-7,1,23531
29,-4,9,-8,1,25007
29,-4,10,-8,1,25252
29,-4,11,-7,0,27281
29,-4,9,-8,2,28883
30,-4,10,-8,0,20925
30,-4,9,-8,0,22169
30,-4,9,-7,1,24116
30,-4,11,-7,1,24169
30,-4,9,-8,1,25801
30,-4,9,-7,2,26604
30,-4,12,-7,1,27248
30,-4,9,-8,2,32884
31,-4,9,-7,0,18642
31,-4,9,-8,0,21609
31,-4,9,-7,1,23025
31,-4,9,-8,1,24828
31,-4,9,-7,2,25742
31,-4,9,-8,2,30561
31,-4,10,-8,2,31376
31,-3,9,-8,1,39978
32,-4,9,-7,0,19069
32,-4,9,-8,0,22261
32,-4,10,-8,1,24247
32,-4,9,-7,1,25299
32,-4,9,-8,1,26333
32,-4,9,-8,2,29812
32,-4,10,-8,2,30653
32,-3,9,-8,0,41076
33,-4,10,-8,0,20845
33,-4,9,-8,0,25708
33,-4,9,-7,1,25727
33,-4,9,-8,1,27197
33,-4,9,-6,1,27323
33,-4,9,-8,2,29787
33,-4,10,-8,2,35569
33,-3,9,-8,1,41073
34,-4,9,-8,0,21411
34,-4,10,-7,1,23090
34,-4,9,-6,1,23549
34,-4,9,-8,1,25204
34,-4,9,-7,1,27472
34,-4,10,-8,2,30462
34,-4,9,-8,2,34581
34,-3,9,-8,2,55518
35,-4,9,-8,0,21024
35,-4,10,-7,1,24718
35,-4,9,-8,1,26052
35,-4,9,-7,1,29597
35,-4,9,-7,2,31025
35,-3,9,-8,0,34233
35,-4,9,-8,2,35055
35,-3,9,-8,1,42951
36,-4,10,-8,0,20532
36,-4,9,-8,0,22904
36,-4,9,-6,1,23209
36,-4,9,-7,1,24438
36,-4,9,-8,1,26810
36,-4,9,-8,2,30794
36,-3,9,-8,1,39497
36,-3,9,-8,2,55395
37,-4,10,-8,0,20624
37,-4,9,-8,0,21969
37,-4,9,-6,1,22429
37,-4,9,-7,1,23166
37,-4,9,-8,1,23712
37,-4,10,-8,2,28813
37,-4,9,-8,2,30598
37,-3,9,-8,1,46686
38,-4,10,-8,0,20452
38,-4,9,-6,1,22065
38,-4,9,-7,1,22875
38,-4,9,-8,0,24389
38,-4,9,-8,1,26081
38,-4,10,-8,2,29826
38,-4,9,-8,2,32613
38,-3,9,-8,1,41177
39,-4,9,-8,0,21051
39,-4,10,-8,1,24645
39,-4,9,-7,1,27154
39,-4,9,-8,1,30021
39,-4,9,-7,2,30289
39,-4,9,-8,2,32463
39,-3,9,-8,0,32786
39,-3,9,-7,1,40108
40,-4,9,-6,1,21940
40,-4,9,-7,1,22613
40,-4,10,-8,1,26615
40,-4,9,-8,1,27222
40,-4,10,-7,2,28548
40,-4,9,-7,2,30472
40,-4,9,-8,2,32087
40,-3,9,-8,1,40420
41,-4,9,-7,0,22740
41,-4,9,-7,1,23358
41,-4,9,-8,1,24584
41,-4,10,-8,1,25575
41,-4,9,-7,2,28871
41,-4,9,-8,2,30255
41,-3,9,-7,2,48791
41,-3,9,-8,2,50268
42,-4,9,-7,1,22363
42,-4,10,-8,1,23976
42,-4,9,-8,1,24609
42,-4,9,-7,2,28506
42,-4,10,-7,2,28911
42,-4,9,-8,2,33367
42,-3,9,-7,1,38635
42,-3,9,-8,2,50694
43,-4,9,-8,0,20855
43,-4,10,-7,1,21146
43,-4,9,-6,1,21638
43,-4,9,-8,1,24667
43,-4,9,-7,1,25085
43,-4,9,-7,2,27315
43,-4,9,-8,2,31207
43,-3,9,-8,1,36896
44,-4,9,-7,0,18889
44,-4,9,-8,0,20167
44,-4,9,-7,1,21596
44,-4,10,-7,1,21504
44,-4,9,-8,1,24829
44,-4,10,-8,1,25775
44,-4,9,-7,2,27211
44,-4,9,-8,2,30067
45,-4,9,-7,0,18265
45,-4,9,-8,0,20224
45,-4,9,-6,1,21631
45,-4,9,-8,1,23506
45,-4,9,-7,1,25286
45,-4,10,-8,2,27719
45,-4,9,-8,2,29878
45,-3,9,-8,1,36491
46,-4,9,-7,0,17192
46,-4,9,-8,0,19363
46,-4,9,-7,1,21415
46,-4,10,-8,0,21493
46,-4,10,-7,1,22215
46,-4,9,-8,1,23496
46,-4,10,-8,1,25182
46,-4,9,-8,2,27164
47,-4,9,-8,0,18854
47,-4,9,-6,1,18366
47,-4,9,-7,0,19809
47,-4,9,-7,1,20928
47,-4,9,-8,1,22199
47,-4,9,-8,2,27823
47,-4,9,-7,2,27901
47,-3,9,-8,2,48959
48,-4,9,-8,0,18790
48,-4,9,-6,1,18383
48,-4,9,-7,0,20191
48,-4,9,-7,1,20626
48,-4,9,-8,1,23662
48,-4,9,-7,2,24022
48,-4,9,-8,2,26974
48,-3,9,-8,2,48481
49,-4,9,-7,0,16617
49,-4,9,-7,1,20665
49,-4,9,-8,1,25043
49,-4,10,-7,2,24538
49,-4,9,-7,2,25665
49,-4,9,-6,2,25851
49,-4,9,-8,2,27759
49,-3,9,-8,1,34555
50,-4,9,-8,0,20650
50,-4,9,-7,1,20869
50,-4,9,-6,2,22041
50,-4,9,-8,1,22978
50,-4,9,-7,2,24275
50,-4,9,-8,2,25683
50,-4,10,-8,2,25793
50,-3,9,-8,1,34406
51,-4,9,-7,0,18490
51,-4,9,-8,0,18951
51,-4,9,-7,1,19613
51,-4,10,-8,1,21039
51,-4,9,-8,1,21755
51,-4,10,-7,1,21637
51,-4,10,-8,0,25158
51,-4,9,-8,2,26307
52,-4,9,-7,0,17590
52,-4,10,-8,0,17541
52,-4,9,-8,0,18031
52,-4,9,-7,1,20510
52,-4,9,-8,1,21735
52,-4,10,-8,1,22169
52,-4,9,-8,2,27574
52,-3,9,-8,2,46927
53,-4,9,-8,0,18309
53,-4,10,-7,1,19503
53,-4,9,-8,1,21858
53,-4,9,-7,2,23376
53,-4,9,-7,1,24076
53,-4,9,-8,2,27917
53,-3,9,-8,0,27611
53,-4,10,-8,2,28491
54,-4,9,-8,0,19170
54,-4,9,-7,1,19633
54,-4,9,-8,1,24875
54,-4,9,-7,2,25199
54,-4,9,-8,2,27303
54,-3,9,-8,0,29219
54,-3,9,-7,1,32465
54,-3,9,-8,2,42015
55,-4,9,-8,0,18415
55,-4,9,-7,1,19701
55,-4,10,-7,1,20059
55,-4,9,-8,1,21376
55,-4,9,-8,2,25097
55,-3,9,-8,0,26377
55,-3,10,-7,1,28661
55,-3,9,-8,2,43737
56,-4,9,-7,0,16524
56,-4,9,-8,0,17784
56,-4,10,-8,0,19045
56,-4,9,-7,1,19447
56,-4,9,-8,1,21109
56,-4,9,-8,2,23534
56,-4,9,-7,2,25871
56,-3,9,-8,1,33567
57,-4,9,-7,0,16139
57,-4,9,-8,0,17874
57,-4,9,-7,1,19162
57,-4,11,-8,0,19070
57,-4,10,-8,0,19554
57,-4,9,-8,1,20737
57,-4,9,-8,2,23270
57,-3,9,-8,2,23950
58,-4,9,-8,0,18171
58,-4,9,-7,1,21488
58,-4,9,-8,1,23139
58,-4,9,-7,0,24265
58,-4,9,-8,2,26735
58,-4,10,-8,2,26449
58,-3,9,-8,1,32514
58,-3,9,-8,2,41672
59,-4,10,-8,0,18442
59,-4,9,-7,1,19373
59,-4,9,-8,0,21291
59,-4,10,-8,1,21166
59,-4,9,-7,0,22066
59,-4,9,-8,1,23101
59,-4,9,-7,2,22640
59,-4,9,-8,2,24602
60,-4,9,-7,0,16480
60,-4,9,-8,0,17316
60,-4,9,-8,1,21981
60,-4,10,-8,0,21649
60,-4,9,-8,2,26218
60,-4,9,-7,2,29568
60,-3,9,-8,0,29690
60,-3,9,-8,2,38981
61,-4,9,-8,0,18047
61,-4,9,-7,0,21210
61,-4,9,-8,1,22906
61,-4,9,-7,2,24068
61,-4,10,-8,1,24856
61,-4,9,-8,2,25112
61,-4,10,-8,2,29133
61,-3,9,-8,1,30960
62,-4,9,-8,0,17420
62,-4,9,-7,0,17511
62,-4,10,-8,0,21091
62,-4,10,-8,1,21675
62,-4,9,-8,1,22412
62,-4,9,-7,2,22263
62,-4,9,-8,2,23605
62,-4,10,-8,2,26750
63,-4,9,-8,0,17759
63,-4,9,-7,0,19676
63,-4,10,-8,0,19259
63,-4,9,-8,1,21279
63,-4,9,-7,1,22510
63,-4,9,-8,2,24795
63,-4,9,-7,2,24933
63,-3,9,-7,2,34840
64,-4,9,-7,0,8616
64,-4,9,-7,1,12460
64,-4,9,-8,0,16999
64,-4,9,-8,2,19921
64,-4,9,-8,1,20250
64,-4,10,-8,0,12703
64,-4,9,-7,2,17155
64,-4,10,-8,2,19214
65,-4,9,-6,0,14122
65,-4,9,-8,0,18334
65,-4,9,-7,0,18678
65,-4,10,-8,1,18534
65,-4,9,-8,1,22709
65,-4,9,-7,2,22787
65,-4,10,-8,2,26832
65,-4,9,-8,2,27954
66,-4,10,-8,0,16262
66,-4,9,-8,0,16692
66,-4,10,-8,1,20076
66,-4,10,-7,0,15435
66,-4,9,-8,1,20995
66,-4,9,-7,0,20973
66,-4,9,-8,2,23739
66,-4,10,-8,2,26112
67,-4,9,-6,0,13259
67,-4,10,-7,0,14233
67,-4,9,-7,0,14471
67,-4,9,-8,0,17437
67,-4,9,-8,2,21178
67,-4,9,-8,1,22562
67,-3,9,-8,1,28968
67,-3,9,-8,2,35813
68,-4,10,-8,0,16061
68,-4,9,-8,0,17032
68,-4,9,-7,0,18028
68,-4,9,-8,1,19369
68,-4,9,-8,2,22867
68,-4,9,-7,1,24309
68,-3,9,-8,1,29141
68,-3,9,-8,2,37538
69,-4,9,-8,0,16057
69,-4,9,-6,0,16650
69,-4,10,-8,0,17329
69,-4,9,-8,1,19758
69,-4,9,-7,0,20272
69,-4,9,-7,2,20323
69,-4,9,-8,2,22090
69,-3,9,-8,1,27273
70,-4,9,-7,0,14661
70,-4,10,-8,0,16344
70,-4,9,-8,0,17702
70,-4,10,-8,1,19197
70,-4,9,-8,1,20010
70,-4,10,-7,0,12491
70,-4,10,-8,2,22479
70,-4,9,-8,2,24487
71,-4,9,-8,0,16072
71,-4,9,-7,0,16105
71,-4,9,-7,1,18266
71,-4,9,-8,2,22493
71,-4,10,-8,0,22221
71,-4,9,-8,1,22930
71,-4,10,-8,2,22754
71,-3,9,-8,1,27897
72,-4,9,-7,0,15692
72,-4,9,-8,0,16263
72,-4,9,-6,0,17957
72,-4,9,-7,1,19958
72,-4,9,-8,1,20433
72,-4,9,-8,2,23062
72,-4,10,-8,2,22928
72,-4,9,-7,2,23531
73,-4,9,-8,0,16695
73,-4,9,-7,0,17497
73,-4,9,-8,1,19939
73,-4,9,-7,1,20132
73,-4,9,-8,2,24895
73,-3,9,-8,0,24885
73,-4,9,-7,2,25457
73,-3,9,-8,2,42026
74,-4,9,-8,0,15676
74,-4,9,-7,0,18957
74,-4,9,-7,1,19077
74,-4,9,-8,1,19427
74,-4,9,-7,2,20546
74,-4,10,-8,1,20831
74,-4,9,-8,2,22564
74,-3,9,-7,0,27099
75,-4,9,-7,0,12872
75,-4,9,-8,0,14836
75,-4,10,-8,0,15573
75,-4,9,-8,1,19015
75,-4,9,-7,1,17182
75,-4,9,-6,0,18884
75,-4,9,-8,2,21738
75,-4,9,-7,2,19792
76,-4,9,-7,0,14465
76,-4,9,-8,0,16786
76,-4,9,-7,1,16940
76,-4,9,-8,1,19107
76,-4,10,-8,1,19222
76,-4,10,-7,0,20877
76,-4,9,-8,2,21755
76,-3,9,-8,0,28123
77,-4,9,-7,0,14050
77,-4,10,-7,0,14259
77,-4,9,-8,0,15952
77,-4,9,-6,1,16724
77,-4,9,-7,1,17324
77,-4,9,-8,1,19095
77,-4,10,-7,1,16277
77,-4,9,-8,2,21894
78,-4,9,-6,0,12881
78,-4,9,-8,0,15598
78,-4,9,-6,1,15616
78,-4,9,-7,0,15973
78,-4,9,-7,1,17066
78,-4,9,-8,1,19176
78,-3,9,-8,0,22527
78,-3,9,-8,1,31483
79,-4,9,-7,0,16074
79,-4,10,-8,0,15713
79,-4,9,-8,0,17507
79,-4,9,-7,1,21716
79,-4,9,-8,1,22612
79,-4,9,-8,2,23192
79,-3,9,-7,0,23752
79,-3,9,-8,1,29235
80,-4,10,-8,0,15689
80,-4,9,-7,0,17156
80,-4,9,-8,0,17725
80,-4,9,-7,1,18086
80,-4,9,-8,1,19493
80,-3,9,-8,0,23002
80,-4,10,-8,2,23437
80,-4,9,-8,2,26039
81,-4,9,-7,1,19112
81,-4,9,-8,1,19506
81,-4,9,-8,0,20148
81,-4,9,-7,0,20882
81,-4,9,-8,2,24256
81,-3,9,-8,0,26920
81,-3,9,-8,1,29974
81,-3,9,-8,2,35685
82,-4,9,-8,0,14126
82,-4,9,-7,0,14494
82,-4,9,-7,1,18044
82,-4,10,-7,0,17006
82,-4,9,-7,2,20538
82,-4,9,-8,1,21992
82,-4,9,-8,2,21914
82,-4,10,-8,2,21279
83,-4,9,-7,0,13129
83,-4,9,-6,0,14239
83,-4,9,-8,0,17263
83,-4,10,-8,0,15834
83,-4,9,-8,1,20478
83,-4,9,-8,2,20917
83,-3,9,-7,0,23885
83,-3,9,-8,1,26844
84,-4,9,-7,0,12273
84,-4,10,-8,0,14453
84,-4,9,-8,0,15655
84,-4,9,-8,1,18468
84,-4,9,-7,1,18747
84,-4,9,-8,2,23578
84,-3,9,-8,1,25698
84,-3,9,-8,2,35097
85,-4,9,-8,0,16153
85,-4,9,-7,0,16668
85,-4,9,-8,1,20264
85,-4,9,-7,2,20368
85,-4,9,-8,2,23209
85,-3,9,-8,1,30089
85,-3,9,-8,2,36071
85,-2,9,-8,1,53420
86,-4,9,-7,0,14971
86,-4,9,-7,1,18322
86,-4,9,-7,2,19210
86,-4,9,-8,1,20421
86,-4,9,-8,0,20709
86,-4,10,-8,1,21078
86,-4,9,-8,2,22656
86,-3,9,-7,0,23304
87,-4,9,-7,0,15038
87,-4,9,-8,0,16323
87,-4,9,-8,1,18432
87,-4,9,-7,1,20247
87,-4,10,-8,2,21097
87,-4,9,-8,2,22930
87,-3,9,-8,0,28625
87,-3,9,-8,1,28950
88,-4,9,-6,0,13141
88,-4,9,-7,0,14242
88,-4,9,-8,0,15876
88,-4,9,-8,1,18623
88,-4,9,-7,2,18892
88,-4,9,-8,2,21867
88,-3,9,-8,0,22690
88,-3,9,-8,1,28951
89,-4,9,-6,0,13155
89,-4,9,-7,0,14506
89,-4,9,-8,0,16693
89,-4,10,-8,1,19833
89,-4,9,-8,1,20779
89,-4,9,-7,2,21100
89,-4,9,-8,2,21715
89,-3,9,-8,0,23690
90,-4,10,-8,0,15727
90,-4,9,-8,0,17075
90,-4,9,-7,0,18047
90,-4,9,-7,1,18172
90,-4,9,-8,1,20575
90,-4,9,-7,2,20283
90,-4,10,-8,2,21008
90,-4,9,-8,2,22667
91,-4,9,-7,0,15606
91,-4,9,-8,0,16917
91,-4,9,-8,1,21164
91,-4,10,-8,2,21675
91,-3,9,-8,0,25069
91,-4,9,-8,2,25641
91,-3,9,-7,0,26321
91,-3,9,-8,1,30521
92,-4,9,-6,0,13327
92,-4,10,-8,0,15949
92,-4,9,-8,0,17007
92,-4,9,-7,0,16975
92,-4,10,-8,1,18622
92,-4,9,-8,1,20574
92,-4,9,-8,2,22403
92,-3,9,-8,2,34773
93,-4,9,-6,0,13526
93,-4,9,-7,0,15635
93,-4,9,-8,0,18117
93,-4,9,-7,2,18917
93,-4,9,-8,1,19863
93,-4,10,-8,1,21250
93,-4,9,-8,2,22022
93,-4,10,-8,2,24225
94,-4,9,-8,0,16970
94,-4,9,-7,0,16645
94,-4,10,-8,0,17845
94,-4,9,-7,1,19021
94,-4,9,-8,1,20958
94,-4,10,-8,2,21536
94,-4,9,-8,2,22366
94,-3,9,-8,1,31217
95,-4,10,-7,0,15274
95,-4,9,-7,0,16510
95,-4,9,-8,0,17155
95,-4,9,-7,1,20965
95,-4,9,-8,2,22023
95,-4,9,-8,1,23148
95,-3,9,-7,0,24993
95,-3,9,-8,0,25106
96,-4,9,-7,0,15305
96,-4,10,-7,0,15893
96,-4,9,-8,0,17377
96,-4,9,-6,1,17597
96,-4,9,-7,1,17931
96,-4,9,-8,1,19747
96,-4,9,-7,2,22224
96,-3,9,-8,0,25953
97,-4,9,-6,0,15079
97,-4,9,-7,0,16563
97,-4,9,-6,1,17603
97,-4,9,-8,1,18745
97,-4,9,-7,1,18912
97,-4,9,-8,0,19884
97,-3,9,-7,1,29328
97,-3,9,-8,1,29782
98,-4,9,-7,0,15415
98,-4,9,-8,0,17185
98,-4,9,-6,0,16859
98,-4,9,-6,1,17272
98,-4,9,-7,1,19395
98,-4,9,-8,1,20122
98,-4,10,-8,0,20964
98,-4,9,-8,2,22299
99,-4,9,-6,0,14677
99,-4,9,-7,0,15683
99,-4,9,-8,0,19054
99,-4,9,-8,1,21013
99,-4,9,-8,2,24027
99,-4,9,-7,2,25340
99,-3,9,-8,1,29506
99,-3,9,-8,2,39803
100,-4,9,-7,0,15298
100,-4,9,-8,0,16956
100,-4,10,-7,0,16507
100,-4,9,-8,1,21433
100,-4,9,-7,2,22542
100,-4,9,-8,2,23667
100,-3,9,-8,0,29122
100,-3,9,-8,2,42240
101,-4,9,-7,0,15844
101,-4,9,-8,0,18043
101,-4,9,-7,1,19560
101,-4,9,-8,1,21225
101,-4,9,-7,2,22012
101,-4,9,-8,2,24098
101,-4,10,-8,2,24689
101,-3,9,-8,2,45487
102,-4,9,-7,0,15887
102,-4,9,-8,0,17916
102,-4,9,-7,1,20117
102,-4,9,-7,2,22040
102,-4,9,-8,1,22704
102,-4,9,-8,2,23843
102,-3,9,-8,0,27756
102,-3,9,-8,2,42929
